id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency,fetched_timestamp
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,69319.278,1366052623036.0,1,1457783215353.0,28115548059.0,70918.0,68208.0,-1076.6742825321853,-1.52945,-17914304623.78662,-1.29442,19678581.0,21000000.0,21000000.0,73738.0,-5.85887,2024-03-14T07:10:36.635Z,67.81,102272.44266,2013-07-06T00:00:00.000Z,,2024-04-10T07:59:55.348Z,-0.05024430183480289,-1.5294548221750286,4.573045172081751,2024-04-10 08:00:03
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3537.615,425397895862.0,2,425397895862.0,17416026921.0,3643.39,3463.04,-105.7157582159025,-2.90162,-11487001979.309326,-2.6293,120070188.267994,120070188.267994,,4878.26,-27.39833,2021-11-10T14:24:19.604Z,0.432979,817884.15647,2015-10-20T00:00:00.000Z,"{'times': 67.201250146854, 'currency': 'btc', 'percentage': 6720.1250146854}",2024-04-10T07:59:54.667Z,-0.0289960111760235,-2.901623759832668,7.0231774499733755,2024-04-10 08:00:03
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,107182671853.0,3,107182671853.0,50490788667.0,1.002,0.996448,-0.000728447571799906,-0.07279,116755783.0,0.10905,107189305522.759,107189305522.759,,1.32,-24.41756,2018-07-24T00:00:00.000Z,0.572521,74.67093,2015-03-02T00:00:00.000Z,,2024-04-10T07:55:33.903Z,0.03318401737372873,-0.07278506448076323,-0.048631307881685425,2024-04-10 08:00:03
binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,586.868,89914191429.0,4,89914191429.0,1640410053.0,587.4,573.2,11.81,2.05365,1089051622.0,1.22606,153856150.0,153856150.0,200000000.0,686.31,-15.14724,2021-05-10T07:24:17.097Z,0.0398177,1462440.80342,2017-10-19T00:00:00.000Z,,2024-04-10T07:59:55.673Z,0.9315025718950792,2.053647270781065,4.558090684173196,2024-04-10 08:00:03
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1696504756,172.788,77106872378.0,5,99246631101.0,3049219337.0,177.15,169.52,-2.694352756943715,-1.5354,-1360007477.4030457,-1.73322,445687311.291636,573657869.990216,,259.96,-33.49163,2021-11-06T21:54:35.825Z,0.500801,34423.6115,2020-05-11T19:35:23.449Z,,2024-04-10T07:59:58.662Z,0.09919807573085265,-1.5354014063091024,-9.538983085359535,2024-04-10 08:00:03
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.614,33873319020.0,6,61522624199.0,2272426158.0,0.63892,0.602298,0.00465523,0.76349,79749049.0,0.23599,55051549471.0,99987715632.0,100000000000.0,3.4,-81.97711,2018-01-07T00:00:00.000Z,0.00268621,22701.62402,2014-05-22T00:00:00.000Z,,2024-04-10T08:00:00.617Z,0.23448232142690323,0.7634925931554515,4.565114439214902,2024-04-10 08:00:03
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3532.275,33691965183.0,7,33691965183.0,184745267.0,3637.37,3465.86,-105.0926240877975,-2.88925,-1041792868.0279808,-2.99937,9521042.56345826,9521042.56345826,,4829.57,-26.78682,2021-11-10T14:40:47.256Z,482.9,632.22406,2020-12-22T04:08:21.854Z,,2024-04-10T07:59:48.939Z,-0.051381029435726755,-2.8892490681323713,7.082021261524919,2024-04-10 08:00:03
usd-coin,usdc,USDC,https://assets.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.0,32269343739.0,8,32237089889.0,6236430781.0,1.002,0.994128,3.34e-05,0.00334,-341373405.0686989,-1.04681,32264222290.9931,32231973559.5467,,1.17,-14.6795,2019-05-08T00:40:28.300Z,0.877647,14.00473,2023-03-11T08:02:13.981Z,,2024-04-10T07:59:46.756Z,0.007712959196863241,0.0033410135003741396,0.014100276169260727,2024-04-10 08:00:03
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.19,27434517226.0,9,27435062779.0,2185023629.0,0.197203,0.185181,-0.006750686832659225,-3.4241,-942037328.6902046,-3.31977,143822426383.705,143825286383.705,,0.731578,-73.94474,2021-05-08T05:08:23.458Z,8.69e-05,219239.8521,2015-05-06T00:00:00.000Z,,2024-04-10T07:59:57.890Z,0.031262707619040146,-3.4241028502914586,2.748742386937251,2024-04-10 08:00:03
the-open-network,ton,Toncoin,https://assets.coingecko.com/coins/images/17980/large/ton_symbol.png?1696517498,6.782,23566533218.0,10,34664620170.0,712848662.0,7.06,6.41,-0.018721937349019058,-0.2753,-165619702.4840355,-0.69787,3470690889.68536,5105128544.07477,,7.06,-3.79891,2024-04-09T09:46:32.417Z,0.519364,1207.76991,2021-09-21T00:33:11.092Z,,2024-04-10T08:00:00.639Z,0.15192702802894706,-0.27529518848496753,34.055495000301065,2024-04-10 08:00:03
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.584,20578756628.0,11,26245808357.0,522402201.0,0.623176,0.576648,-0.019298452305276825,-3.19815,-689743200.6321487,-3.24303,35283502633.1346,45000000000.0,45000000000.0,3.09,-81.03961,2021-09-02T06:00:10.474Z,0.01925275,2940.03605,2020-03-13T02:22:55.044Z,,2024-04-10T07:59:59.302Z,-0.4048747064425188,-3.198153532847974,-0.9728166620086637,2024-04-10 08:00:03
avalanche-2,avax,Avalanche,https://assets.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,47.475,17965851068.0,12,20755958375.0,490061201.0,48.65,45.78,-1.0027481050159466,-2.06849,-343978749.345932,-1.87866,377909921.258938,436599555.761439,720000000.0,144.96,-67.21937,2021-11-21T14:18:56.538Z,2.8,1596.4695,2020-12-31T13:15:21.540Z,,2024-04-10T07:59:51.091Z,0.029795855583721227,-2.068487086334243,-0.5617090066207326,2024-04-10 08:00:03
shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1696511800,0.0,16368036616.0,13,27776566564.0,579398513.0,2.853e-05,2.694e-05,-7.99429385118e-07,-2.80577,-466716800.8884773,-2.77234,589264619254601.4,999982362230839.0,,8.616e-05,-67.95255,2021-10-28T03:54:55.568Z,5.6366e-11,48986001.80775,2020-11-28T11:26:25.838Z,,2024-04-10T08:00:01.577Z,0.44974661518125275,-2.805771441526995,2.0184837520453245,2024-04-10 08:00:03
bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,628.754,12403839487.0,14,13229361557.0,1180562752.0,692.49,614.0,-40.006612539783646,-5.9822,-769611851.9623699,-5.84214,19689584.2716508,21000000.0,21000000.0,3785.82,-83.36233,2017-12-20T00:00:00.000Z,76.93,718.7092,2018-12-16T00:00:00.000Z,,2024-04-10T07:59:53.276Z,-0.3042036181243287,-5.982201392680235,2.3579290068420655,2024-04-10 08:00:03
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,8.536,11539988865.0,15,12231465593.0,313925976.0,9.08,8.42,-0.31238443450759057,-3.53046,-441627542.878706,-3.68588,1350952322.2768,1431901455.17151,,54.98,-84.45234,2021-11-04T14:10:09.301Z,2.7,216.90037,2020-08-20T05:48:11.359Z,,2024-04-10T07:59:53.112Z,-0.3240384115388153,-3.530463752926226,-1.8530595522515945,2024-04-10 08:00:03
